muOfClust.1.,muOfClust.2.,pClust.1.,pClust.2.,tauOfClust.1.,tauOfClust.2.
0.44583973744189515,0.6709377944833751,0.5356479586436581,0.4643520413563418,297.0286976933943,261.5926926509944
0.4438851546774535,0.6688761837164874,0.5417127290636865,0.45828727093631355,310.307737836543,274.77723611411824
0.4450373510846538,0.6708053787154789,0.5405745354485463,0.45942546455145367,310.35140393593286,279.59311418797944
0.4460295846902333,0.6692837531073135,0.541535843582354,0.45846415641764604,301.1116571929291,266.56825666451414
0.44454513271905505,0.6692190053487667,0.5247535912854812,0.4752464087145189,311.6027260265093,264.3412502269568
0.4436311617705711,0.6693607213750625,0.5388865956723006,0.46111340432769943,312.0184686243483,263.10743846322686
0.4447925239218049,0.6690960362160738,0.5381134250769245,0.46188657492307544,315.7897471905199,256.9750044769812
0.4454582774379974,0.667297231839943,0.5456365945763489,0.45436340542365106,320.0239303911967,256.3813747549811
0.44547367634828017,0.6683168141641097,0.5374431236320646,0.46255687636793547,313.8871016738234,263.03136127124156
0.4445119815913105,0.6676210803985217,0.537554759532728,0.46244524046727187,312.9175924918151,264.30656359808813
0.444410480551616,0.6678766827481993,0.5361997577352373,0.46380024226476274,331.9278702991621,258.256292472259
0.44342354399163997,0.666634693076206,0.5346288680332181,0.46537113196678204,310.2777057574389,253.05113560227917
0.44547057144276114,0.6674387002956428,0.5425280560461267,0.45747194395387325,321.4526047539438,263.99826525425163
0.44464206693463976,0.669389257977389,0.5390747346924578,0.46092526530754213,308.89244063523296,266.8125678809725
0.44376222636308793,0.6699088566924832,0.5360253066131885,0.4639746933868115,313.3274059456754,263.9601431368652
0.4453805737979464,0.6701951867635679,0.5353008015607834,0.4646991984392165,305.1374989858849,269.7631637355329
0.44650292938166275,0.6691338776650002,0.5416849529389816,0.4583150470610185,310.30386871433416,259.5277769324553
0.4445095656576855,0.6689257843977925,0.5400603509340038,0.45993964906599627,319.85543659501883,260.8748386329134
0.4452858408384033,0.6675375986383476,0.536423641453981,0.46357635854601903,311.6397408490364,258.44474060848086
0.44325036967016856,0.6680243343590916,0.5362965560445841,0.4637034439554158,320.2202001057264,266.11894118006387
0.44494291983148154,0.6669762056631845,0.5334726570372116,0.4665273429627884,317.02850658156285,268.5917440986324
0.4440010104907083,0.6688791181273298,0.5375604825716833,0.46243951742831674,321.27039098713493,263.99970145274887
0.44559788782286697,0.6700584014951778,0.537355726744763,0.46264427325523705,296.65411018024133,267.5577068093499
0.4449510642151602,0.6708983190080637,0.5449495238275243,0.4550504761724756,303.7360520420758,270.5407261473837
0.4457400148571635,0.6680333209054252,0.5452875757365417,0.45471242426345826,304.79319192005823,276.27357623331477
0.4455642198114404,0.670415894788882,0.5348953824795226,0.46510461752047727,310.80217584603685,261.6091708969057
0.4445276535694765,0.6704752143706022,0.5351100286390186,0.4648899713609814,315.50117326712933,272.12150023461106
0.4464218394056839,0.6702690640982052,0.5431474156957193,0.4568525843042806,315.7084417107365,256.86596931851494
0.44604103479215357,0.668668996493902,0.5343216246835839,0.4656783753164161,303.94844621245,270.3287247286143
